ID,ACCESSION,NAME,TAXONOMY,ORIGIN,AMYLOSE,KERNEL LENGTH/WIDTH RATIO,LENGTH OF KERNEL,SALT TOLERANCE,WIDTH OF KERNEL,LEAF BLADE COLOR,PLANT HEIGHT 1
1028073,CIor 4430,CI 4430,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",26,2.8,6.2,0,2.2,0,0
1028076,CIor 4431,Bangon,Oryza sativa L.,"Northern Mindanao (Region X), Philippines",25,3,5.9,0.19,2,0,0
1028085,CIor 4432,Alabang 299,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",25,2.5,5.9,0.58,2.4,0,0
1028117,CIor 4440,Gpno 1562,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,2,6,0,3,0,0
1028127,CIor 4442,Aguyod,Oryza sativa L.,Philippines,23,2.7,6.3,1.11,2.4,0,0
1028145,CIor 4446,Batian,Oryza sativa L.,"Eastern Visayas (Region VIII), Philippines",24,3.2,5.8,0,1.8,0,0
1028162,CIor 4450,Virgen,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",22,3.2,8,0,2.5,0,0
1028163,CIor 4451,Calibung Puti,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,2.8,7,0,2.5,0,0
1028387,CIor 4497,Alabang 354,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",24,2.6,6.5,0,2.5,0,0
1028444,CIor 4513,CI 4513,Oryza sativa L.,"Western Visayas (Region VI), Philippines",25,2.5,5.6,0,2.2,0,0
1028507,CIor 4529,CI 4529,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",25,2.3,5.3,0.5,2.4,0,0
1028510,CIor 4530,WC 3192,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,2.7,6.4,0,2.4,0,0
1028601,CIor 4554,Manumbalay,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",29,3,7.5,0,2.5,0,0
1028625,CIor 4559,Iola,Oryza sativa L.,"Western Visayas (Region VI), Philippines",21,3.2,8,0,2.5,0,0
1028665,CIor 4569,CI 4569,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,2.5,6.1,0.62,2.5,0,0
1028700,CIor 4578,Diguet a Milingo,Oryza sativa L.,"Ilocos (Region I), Philippines",0,2.4,6,0.34,2.6,0,0
1028741,CIor 4590,Pitaso,Oryza sativa L.,"Northern Mindanao (Region X), Philippines",25,2.5,5.7,0,2.3,0,0
1028752,CIor 4594,Alabang 481,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",25,3,6,0,2,0,0
1028774,CIor 4602,Kinabugan,Oryza sativa L.,"Mimaropa (Region IV-B), Philippines",26,1.8,5.5,0,3,0,0
1028775,CIor 4603,Calibo,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,2.8,7,0,2.5,0,0
1028809,CIor 4616,CI 4616,Oryza sativa L.,Philippines,24,2.9,6.1,0.22,2.1,0,0
1028839,CIor 4625,CI 4625,Oryza sativa L.,"Bicol (Region V), Philippines",25,2.8,6.1,0,2.2,0,0
1028843,CIor 4626,CI 4626,Oryza sativa L.,"Bicol (Region V), Philippines",22,2.4,5.7,0,2.4,0,0
1028870,CIor 4637,Lupa,Oryza sativa L.,"Bicol (Region V), Philippines",24,3,6.1,0.2,2,0,0
1028884,CIor 4641,Gpno 1653,Oryza sativa L.,"Western Visayas (Region VI), Philippines",23,3,7.5,0.15,2.5,0,0
1028922,CIor 4653,Kinalamba,Oryza sativa L.,"Central Luzon (Region III), Philippines",20,2,6,0,3,0,0
1028946,CIor 4660,Calcag,Oryza sativa L.,"Western Visayas (Region VI), Philippines",22,3.5,7,0,2,0,0
1029016,CIor 4682,Quirao,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",21,2.6,6.5,0,2.5,0,0
1029087,CIor 4704,WC 3217,Oryza sativa L.,Philippines,24,2.4,6,0,2.5,0,0
1029113,CIor 4714,Puinolago,Oryza sativa L.,"Bicol (Region V), Philippines",22,3,7.5,0.07,2.5,0,0
1029449,CIor 4830,Gpno 1678,Oryza sativa L.,"Western Visayas (Region VI), Philippines",24,2.4,6,0,2.5,0,0
1029561,CIor 4866,Inibaya,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",23,3,7.5,0,2.5,0,0
1029589,CIor 4875,Catorsa,Oryza sativa L.,"Bicol (Region V), Philippines",24,3.5,7,0.42,2,0,0
1029590,CIor 4876,CI 4876,Oryza sativa L.,"Bicol (Region V), Philippines",25,2.8,5.7,0.31,2.1,0,0
1029609,CIor 4881,CI 4881,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",24,2.8,6.2,0,2.2,0,0
1029741,CIor 4957,Macunting,Oryza sativa L.,"Calabarzon (Region IV-A), Philippines",21,1,3,0,3,0,0
